item,item_transitivity,mean_sentence_transitivity,transitivity_binned,mean_sdi,mean_path_similarity_score,mean_embedding_score,gesturer,Alternate,Manipulation,Tool,Movement,Manner,HS1Code,HS2Code,finger_complexity,joint_complexity,flexion,nsf_flexion,selected_fingers,aperture_change,nsf_thumb,thumb_flex,two_handed
person-bend-over-IN,0,0.3,0,2.106913074,0.2442401838,6.2852086,NP,0,0,0,0,0,B;/,BTc,2,1,1,-1,imrp,0,-1,1,1
take-lid-off-TR,1,0.95,1,1.756603815,0.2334824561,5.622221334,NP,0,1,0,0,0,U^<;#,B;/,2,2,3,1,im,0,1,1,1
hanger-swing-IN,0,0.65,0,2.563151406,0.133377193,7.164103647,HO,0,0,0,1,1,1[;#,,2,2,2,1,i,0,1,1,0
break-stick-TR,1,1,1,1.082534886,0.4157105263,4.519583776,CM,1,1,0,0,0,BT^( BT@,BT^( BT@,1,2,4,0,imrpthumb,0,1,0,1
door-microwave-close-IN,0,0.6447,0,2.224506218,0.01310916179,6.354009012,IP,1,0,0,1,0,B;/,B;/,2,1,1,-1,imrp,0,-1,1,1
bowl-break-IN,0,0.325,0,1.583478342,0.3179649123,5.564390314,CM,0,0,0,0,0,BT^(,BT^(,1,2,4,0,imrpthumb,0,1,0,1
hit-bottle-with-ball-TR,1,0.7807,1,2.422947928,0.0943079922,6.718955446,NP,0,1,1,0,0,B^[;/,B@;/,2,2,2,-1,imrp,0,-1,1,1
book-fall-over-IN,0,0.225,0,1.063439589,0.4742105263,3.371810794,IP,1,0,0,1,0,BT-,,1,1,1,0,imrpthumb,0,-1,-1,0
put-cup-on-coaster-TR,1,1,1,2.672351698,0.165497076,6.393549947,NP,0,1,0,0,0,1@;T-;#,BT-,3,1,7,1,ithumb,0,0,1,1
march-IN,0,0,0,0.9320738874,0.6325536062,2.871262682,IP,0,0,0,1,1,U<;# U^[;#,,2,2,3,1,im,0,1,1,0
ball-hit-waterbottle-TR,1,0.6842,0,2.39233804,0.02662559176,6.301428323,HO,0,0,0,1,0,BT^c B^T,Bkc;/,1,2,5,0,imrpthumb,1,1,0,1
door-microwave-close-IN,0,0.45,0,2.414283568,0.1475701754,6.685652347,CM,1,0,0,1,0,B;/,Bc;,2,1,1,-1,imrp,0,-1,1,1
fizzle-down-IN,0,0.05,0,2.692310994,0.1191143009,7.77211953,NP,0,0,0,1,1,BTx,Bc;/,1,3,1,0,imrpthumb,0,1,1,1
poster-roll-up-IN,0,0.225,0,2.486735734,0.1915964912,7.265133657,RVN,0,0,0,1,1,B^T- 1;#,B^T- 1;#,2,2,1,0,imrpthumb,0,-1,-1,1
push-toy-in-box-TR,1,0.875,1,2.871649625,0.1424661493,7.24641468,HO,0,1,0,0,0,B^T-,B;/,1,2,1,0,imrpthumb,0,-1,-1,1
fan-turn-IN,0,0.55,0,2.636391439,0.0881716792,7.674626054,NP,1,0,0,1,0,1;#,BT(,2,1,1,1,i,0,1,1,1
drop-ball-TR,1,0.5263,0,1.791759469,0.2144152047,5.303055155,HO,1,1,0,0,0,BT@ B^T-,B^T-,1,1,7,0,imrpthumb,1,1,0,1
car-pass-tower-IN,0,0.1053,0,2.106719567,0.411539961,6.376270894,CS,0,0,0,1,0,B;/,,2,1,1,-1,imrp,0,-1,1,0
measure-book-TR,1,1,1,2.460908653,0.1362555047,6.484991217,RVN,0,1,1,0,0,1Tc;# 1@;T-;#,1Tc;# 1@;T-;#,2,2,5,1,ithumb,0,2,1,1
tower-fall-IN,0,0.4917,0,2.028054467,0.2339912281,6.511769534,IP,1,0,0,0,0,BTo B^T-,,1,2,6,0,imrpthumb,1,1,0,0
